  38,    30821, -3870, -6625, 10495,    -1,   -40,   -44,    81,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  39,    31654,  -896, -8543,  9436,    -3,   -20,   -60,    80,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  40,    32487,  1826, -9829,  7996,    -8,     0,   -72,    68,    -4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  41,    33320,  4266,-10585,  6302,   -17,    22,   -78,    55,    -1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  42,    34153,  6642,-10503,  3837,   -25,    44,   -86,    39,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  43,    34986,  8521, -9430,   890,   -19,    61,   -83,    21,    -1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  44,    35819,  9794, -7961, -1837,    -4,    72,   -72,     1,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  45,    36652, 10593, -6278, -4306,     9,    79,   -56,   -23,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  46,    37485, 10532, -3833, -6676,    23,    83,   -40,   -41,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  47,    38318,  9488,  -925, -8544,    19,    81,   -22,   -57,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  48,    39151,  8048,  1786, -9830,     5,    72,     0,   -70,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  49,    39984,  6366,  4229,-10604,    -8,    55,    24,   -77,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  50,    40817,  3872,  6613,-10487,    -2,    40,    45,   -80,     4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  51,    41650,   895,  8539, -9436,    -2,    21,    61,   -79,     3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  52,    42483, -1830,  9832, -7993,     9,     0,    73,   -70,     3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  53,    43316, -4271, 10588, -6299,    18,   -22,    79,   -53,     3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  54,    44149, -6647, 10510, -3835,    29,   -42,    85,   -40,     4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
